и	and
ложиться	fall
коробка	box
секрет	secret
седьмой	seventh
холм	Hill
лесной	forest
ремень	belt
таков	such
произведение	composition
цифра	numeral
привет	Hi
телефонный	telephone
помощник	assistant
полет	flight
пожар	fire
корова	cow
глупость	folly
расположить	positioned
посидеть	sit
налить	pour
симптом	symptom
сообразить	consider
южный	south
бумажка	slip of paper
радио	radio
торопливый	hurried
удаваться	pan out
ха	Ha
профессия	profession
послышаться	be heard
ровный	smooth
старинный	old
разведка	intelligence service
свидетель	witness
указать	specify
халат	bathrobe
сегодняшний	today
зимний	winter
тьма	dark
повести	story
сообщение	message
гроб	coffin
подхватить	pick up
яма	pit
позади	behind
жест	gesture
устраивать	arrange
шоссе	highway
участвовать	participate
уважение	respect
цепь	chain
подвал	basement
некогда	once
сохранить	retain
лампа	lamp
закрывать	close
доля	share
неплохо	not bad
смешно	funny
понадобиться	would need
старушка	old woman
покачать	shake
выясниться	found out
уничтожить	destroy
отвести	take
гриб	mushroom
бродить	to roam
погода	weather
памятник	monument
жар	heat
валяться	wallow
кожаный	leather
механизм	mechanism
Израиль	Israel
мирно	peaceably
потеря	a loss
произносить	pronounce
контроль	control
профессиональный	professional
дверца	door
предупредить	warn
добиться	to achieve
норма	norm
ложка	a spoon
зарплата	salary
веревка	rope
метода	method
исключение	an exception
убрать	clean
волнение	excitement
поддерживать	support
продавать	sell
нежно	gently
баня	bath
путем	by
повесить	hang
ужин	dinner
март	March
оглядываться	look back
сигнал	signal
сыграть	play
библиотека	library
услать	sent away
махать	wave
ЦК	CC
предполагать	assume
заметно	noticeably
сеть	net
коричневый	brown
тщательно	carefully
нерв	nerve
вертолет	helicopter
сладкий	sweet
лекарство	medicine
рассчитывать	expect
запретить	forbid
кладбище	cemetery
переход	transition
сообщать	report
функция	function
перебить	kill
пулемет	machine gun
металлический	metal
батальон	battalion
грузовик	truck
радостно	joyfully
император	emperor
обидеться	take umbrage
башня	tower
сырой	raw
инструмент	tool
вынести	bear
мелочь	trifle
жёстко	hard
присутствие	presence
разбитый	broken
поглядывать	keep an eye on
структура	structure
отозваться	to respond
бесконечно	infinitely
ружье	gun
обрадоваться	rejoice
участник	participant
попасться	get caught
задание	the task
пробормотать	mutter
покинуть	leave
перо	pen
сфера	sphere
судья	judge
жизненный	vital
кончить	come
листок	sheet
равный	equal
ужасный	terrible
отдых	recreation
применять	use
непременно	certainly
золото	gold
угроза	a threat
доложить	report
яблоко	an Apple
меняться	change
обратный	back
путешествие	journey
традиция	tradition
полезный	useful
Франция	France
гнать	drive
выяснить	to figure out
драться	fight
раненый	wounded
депутат	deputy
захотеться	wish
американец	American
производить	produce
нигде	nowhere
знакомство	acquaintance
заснуть	fall asleep
свернуть	turn
задумчиво	reflectively
подозревать	suspect
скромный	modest
спускаться	to go down
следствие	result
медицинский	medical
договориться	reach an agreement
яйцо	egg
поступок	act
преступник	criminal
проверять	check
присесть	take a seat
звание	rank
дрова	firewood
удобный	comfortable
аккуратно	carefully
подушка	pillow
бег	run
тетка	aunt
пропустить	skip
дивизия	division
коньяк	cognac
др	etc.
распахнуть	throw open
исключительно	exclusively
горизонт	horizon
китайский	Chinese
ползти	crawl
выбраться	out
мрачно	gloomily
деталь	detail
контакт	contact
жук	beetle
шеф	boss
Петербург	Petersburg
правильный	correct
погодить	wait a little
новость	news
утренний	morning
гений	genius
передача	broadcast
редакция	edition
опуститься	descend
декабрь	December
публика	public
колхоз	kolkhoz
свадьба	wedding
лук	bow
городок	town
немало	some
бандит	bandit
москвич	muscovite
лаборатория	laboratory
прекратить	terminate
согласно	according to
справиться	cope
молодёжь	the youth
ноябрь	November
строительство	building
прислушиваться	listen
пакет	package
пенсия	pension
постараться	try
ценность	value
заяц	hare
сэр	sir
желудок	stomach
слабость	weakness
танец	dance
изучать	learn
удивительно	surprisingly
пилить	to nag
князь	prince
партийный	party
бомба	bomb
воин	warrior
подписать	sign
стрелок	shooter
посылать	send
комитет	Committee
карточка	card
итог	result
девка	wench
воображение	imagination
душевный	soulful
плотный	dense
танцевать	dance
склон	slope
действительность	reality
объяснение	explanation
серебряный	silver
подобрать	pick up
незаметно	insensibly
осветить	highlight
дешевый	cheap
многочисленный	numerous
степь	steppe
стеклянный	glass
вор	thief
внук	grandson
голодный	hungry
винтовка	rifle
лев	a lion
тяжесть	weight
приобрести	acquire
оборона	defense
ужасно	terribly
огонек	twinkle
поинтересоваться	ask
вечерний	evening
заорать	yell
трогать	touch
задержать	delay
подбородок	chin
стиль	style
вещий	prophetic
редактор	editor
потребовать	demand
щель	slit
вслух	aloud
блестеть	shine
противоположный	opposite
давление	pressure
коммунистический	communist
режиссер	producer
дар	gift
метро	Metro
шанс	chance
конкретный	specific
наблюдение	watching
май	May
усесться	take a seat
сиять	shine
туча	cloud
стоящий	standing
вырваться	escape
отвернуться	to turn away
дума	thought
закончиться	end
клиент	client
двигатель	engine
сентябрь	September
дежурный	duty
бормотать	mutter
завтрак	breakfast
состояться	take place
рыбак	fisherman
взвод	platoon
особо	specially
поправить	correct
альбом	album
болото	swamp
ответственность	a responsibility
ощутить	experience
беспокоиться	worry
пламя	flame
задавать	set
выдавать	issue
полететь	fly
художественный	art
отдохнуть	relax
снаряд	shell
марка	mark
заместитель	deputy
папка	folder
отказываться	refuse
концерт	concert
творческий	creative
разум	mind
волшебный	magic
МК	MK
пояснить	explained
активный	active
услуга	service
белье	linen
прощать	forgive
благо	good
ангел	angel
шуметь	make noise
одинаковый	same
толь	roofing felt
мина	mine
модель	model
массовый	mass
разрешение	resolution
наличие	Availability
доноситься	be heard
этап	stage
описать	describe the
невольно	unwittingly
козёл	goat
возвращение	return
класть	put
шагать	step
идиот	idiot
ненависть	hatred
победить	beat
плавать	to swim
лётчик	pilot
лекция	lecture
смелый	bold
случайный	random
каков	what
печь	bake
разобрать	disassemble
государь	prince
замуж	marry
верх	top
изображение	picture
моряк	sailor
речка	small river
республика	republic
гордость	pride
бревно	log
невеста	bride
потянуться	stretch
кривой	crooked
посреди	midst
предположить	suggest
прибор	instrument
кандидат	candidate
портфель	portfolio
доставить	deliver
ошибиться	slip up
разбудить	to wake
невидимый	invisible
виза	visa
гибель	death
прятать	hide
карьера	career
водить	lead
малыш	kid
пробовать	sample
заплатить	pay
назначение	appointment
гвоздь	nail
кафе	a cafe
убийца	assassin
неведомый	unbeknownst
японский	Japanese
обязанность	duty
отель	hotel
обнять	hug
допустимый	permissible
заглядывать	peek
подготовка	preparation
последствие	aftermath
красавица	beauty
ковер	carpet
выбросить	throw
анализ	analysis
устроиться	get
собственность	own
оценить	estimate
немножко	slightly
хлопнуть	pop
родить	give birth
уставиться	stare
отечественный	domestic
снизу	from below
прокурор	prosecutor
карандаш	pencil
принц	prince
слышаться	be heard
лидер	leader
представляться	seem
спирт	alcohol
обеспечить	provide
бизнес	business
иностранец	foreigner
биться	beat
достигнуть	reach
выпускать	release
поп	pop
койка	berth
приготовить	cook
жестокий	cruel
руль	steering wheel
требование	demand
сволочь	scum
развиваться	develop
увы	Alas
меж	between
пожалеть	take pity
вызов	call
спутник	satellite
обойти	circumvent
оторвать	tear
отчаяние	despair
применение	application
заключаться	lie
организовать	organize
мука	flour
приглашать	invite
распоряжение	disposal
еврейский	Jewish
галстук	tie
поддержать	support
сбить	knock down
заработать	win
госпиталь	hospital
течь	flow
материальный	material
училище	school
последовать	follow
отличный	a great
стук	knocking
гигантский	giant
скандал	scandal
ледяной	ice
отпуск	holiday
полагаться	rely
доставать	get
продолжить	continue
суровый	severe
рукопись	manuscript
дура	fool
полицейский	policeman
кадр	frame
сиденье	seat
ныне	now
указывать	specify
экспедиция	expedition
спичка	match
сложиться	emerge
таинственный	mysterious
брак	marriage
посуда	dishes
снежный	snow
горный	mountain
справедливость	justice
лопата	shovel
набрать	dial
кнопка	button
предпочитать	prefer
необыкновенный	unusual
научить	teach
мистер	Mister
дорожка	track
проявление	manifestation
такси	Taxi
внутрь	inside
ловко	cunningly
хрен	horseradish
владелец	owner
свинья	pig
плод	fetus
интересоваться	be interested in
расстрелять	shoot
побывать	visit
вовремя	during
заплакать	begin to cry
окружить	surround
заседание	meeting
патрон	cartridge
охотно	willingly
раскрыть	to uncover
агент	agent
супруг	spouse
январь	January
соль	salt
роза	rose flower
развести	breed
опытный	experienced
комиссар	commissioner
свидание	date
воздушный	air
вооружённый	armed
негромко	in a low voice
питание	food
неловко	uncomfortable
деловой	business
кролик	rabbit
шкура	skin
политик	politician
грохот	bolt
переживать	live through
финансовый	financial
украсть	steal
слыхать	hear anything
неприятность	trouble
достойный	worthy
шестьдесят	sixty
электрический	electric
успевать	have time
пережить	been through
контора	office
по-русски	in Russian
возражать	mind
суп	soup
европейский	European
палата	ward
сплошной	solid
мода	fashion
кусочек	a piece
понятный	clear
старичок	the old man
потянуть	pull
сорвать	wreck
июнь	June
порт	port
комплекс	complex
спортивный	sports
поддержка	support
блеск	shine
уснуть	fall asleep
потребность	need
лента	tape
громадный	great
сопровождать	accompany
открываться	open
бочок	flank
музыкант	musician
договор	agreement
поход	campaign
подготовить	prepare
мастерская	workshop
защищать	protect
происхождение	origin
спора	spore
ломать	break
пушок	down
рубаха	shirt
оболочка	shell
вступить	start
недалеко	near
выставить	exhibit
прижать	press
препарат	a drug
передавать	transmit
догадываться	guess
недостаток	shortcoming
министерство	Ministry
выступить	come out
отрезать	cut off
искра	spark
дурной	bad
трус	coward
заключение	conclusion
экзамен	exam
скамейка	bench
хохотать	laugh
охотник	hunter
разглядеть	discern
пустыня	desert
разбираться	sort out
понимание	understanding
дважды	twice
пресса	press
молния	lightning
воспользоваться	take advantage of
психический	mental
достаться	get all
сахар	sugar
реальность	reality
одиночество	loneliness
социализм	socialism
судно	vessel
туалет	restroom
окружающее	surrounding
якобы	allegedly
атмосфера	atmosphere
удача	luck
бросаться	rush up
оценка	evaluation
Волга	Volga
пароход	steamship
служебный	office
вне	out
остановка	stop
рыцарь	knight
академик	academician
пустота	emptiness
копейка	kopeck
версия	version
ножка	leg
деревенский	rustic
аккумулятор	battery
исключить	deleted
провожать	see off
собеседник	interlocutor
триста	three hundred
прошептать	whisper
плоский	flat
зритель	viewer
нынче	now
осмотреть	inspect
характерный	characteristic
военный	military
вздрогнуть	wince
старость	old age
цивилизация	civilization
посвятить	dedicate
перенести	postpone
драка	fight
лифт	elevator
тряпка	rag
колбаса	sausage
прервать	abort
отчет	report
каша	porridge
освободить	release
дьявол	devil
сарай	barn
использование	using
творчество	creation
неторопливый	leisurely
проход	passage
Чечня	chechnya
воробей	sparrow
учесть	take account
походить	resemble
относительно	on
подвести	take
рваться	tear
мышца	muscle
жирный	fatty
дожидаться	wait
рассвет	dawn
всерьез	seriously
кивать	beckon
коммунизм	communism
сбежать	elope
глоток	a sip
доказательство	evidence
ввести	enter
нация	nation
сердито	angrily
узел	node
грустный	sad
зависимость	addiction
груз	cargo
империя	empire
определять	determine the
комбат	Kombat
величина	value
крышка	cap
воздействие	effect
допустить	prevent
сбросить	reset
кирпич	brick
полюбить	love
глазок	peephole
содержать	contain
турист	tourist
де	de
обмен	exchange
всеобщий	general
перевод	transfer
четверо	four
стрела	arrow
уголок	corner
лишенный	free
превращаться	turn
лавка	shop
ласковый	gentle
поцеловать	kiss
блюдо	dish
арестовать	to arrest
оглядеть	look around
ток	current
славный	glorious
окоп	trench
демократия	democracy
рвать	rip
шевелиться	stir
свойство	property
рухнуть	collapse
посторонний	outsider
кончаться	finish
успокоить	reassure
рассуждать	reason
секретный	secret
приключение	adventure
искусственный	artificial
получение	receipt
ступенька	step
поза	pose
постучать	knock
штат	state
выборы	elections
носок	sock
сосна	Pine
олень	deer
сидя	sitting
доказывать	prove
перемена	turn
вытянуть	pull
бригадир	foreman
впоследствии	later
уверенность	confidence
сложить	fold
акция	stock
чрезвычайно	extremely
ранить	wound
половой	sexual
засыпать	fall asleep
доходить	reach
космический	space
жених	groom
неподалёку	Proximity
командовать	command
Китай	China
сломать	break
орел	eagle
сорваться	break away
развернуть	expand
дневник	a diary
музыкальный	musical
суббота	Saturday
повышение	increase
гимнастерка	blouse
грозить	threaten
обмануть	deceive
статус	status
посоветовать	give advice
папироса	cigarette
разойтись	break up
восьмой	eighth
убежать	escape
культурный	cultural
воскресенье	Sunday
собачий	canine
сохраниться	preserved
помешать	prevent
проводник	conductor
рюмка	glass
свеча	candle
рассмеяться	laugh
красиво	beautiful
светиться	shine
белок	protein
поначалу	at first
вдвоем	double
помимо	besides
вспыхнуть	flush
решетка	lattice
фактор	factor
слепой	blind
целовать	kiss
отказ	renouncement
волшебник	wizard
изредка	occasionally
нажать	press
заказать	to order
соответствовать	fit
решаться	decide
болтать	chat
указание	designation
доклад	report
нестись	rush
прочь	away
страдание	suffering
окончание	ending
строка	line
тротуар	sidewalk
конфликт	conflict
справка	reference
мебель	furniture
вежливо	politely
ноготь	nail
отнюдь	by no means
химический	chemical
сосуд	vessel
Корея	Korea
трудовой	labor
явный	clear
владеть	own
достижение	attainment
дополнительный	additional
асфальт	asphalt
заменить	replace the
челюсть	jaw
подвиг	feat
колдун	witch
наряд	finery
кончать	finish
письменный	writing
соображать	savvy
соглашаться	agree
скрытый	hidden
рисунок	drawing
прятаться	hide
плюс	a plus
попадаться	getting caught
частность	particular
жалость	a pity
транспорт	transport
наказание	punishment
изображать	represent
выражать	to express
образоваться	formed
способствовать	contribute
съезд	congress
заложить	establish
семьдесят	seventy
исходить	proceed
накануне	on the eve
окончить	finish
отчетливо	distinctly
рамка	frame
акт	Act
посетитель	visitor
долина	valley
невероятный	incredible
влажный	wet
вылезть	climb out
выпасть	fall
божий	divine
социалистический	socialist
обсуждать	discuss
очнуться	wake
рисковать	to risk
выступление	speech
гордиться	be proud
загадочный	mysterious
издание	edition
выразить	express
окружающий	ambient
чашка	a cup
соображение	consideration
жир	fat
миновать	pass
намерение	intention
жаркий	hot
спасать	save
ванная	bathroom
ложь	False
отходить	depart
кузнец	blacksmith
балкон	balcony
запереть	lock
полевой	field
допрос	examination
подходящий	suitable
спектакль	performance
предупреждать	warn
длительный	long
почва	the soil
легенда	legend
отыскать	find
оборачиваться	turn round
срочно	urgently
малейший	the slightest
жидкость	liquid
приемный	adoptive
охватить	cover
благодарить	thank
вздыхать	sigh
блок	block
усталость	fatigue
рисовать	draw
беседовать	talk
надеть	wear
небось	I suppose
поспешно	hastily
заключить	to conclude
надежный	reliable
нужда	need
окошко	window
гудеть	buzz
сюжет	plot
приличный	decent
генеральный	general
угадать	guess
хитрый	cunning
осколок	splinter
кинуться	throw oneself
дурацкий	foolish
сок	juice
будущий	future
испытать	test
усталый	tired
Кремль	Kremlin
мышка	mouse
эффект	Effect
пещера	cave
покраснеть	turn red
зад	ass
возиться	tinker
хранить	keep
небесный	heavenly
сменить	change
приподнять	lift
шагнуть	step
разрыв	gap
цех	shop
браться	undertake
